Epoch,Batch,LossD,LossG,LossG_recon,MSE,PSNR,SSIM
2,21,1.33346,1.05336,0.03014,0.0189,26.3425,0.8995
2,22,1.34150,1.17371,0.04441,0.0362,22.9724,0.8805
2,23,1.26608,1.19597,0.03254,0.0224,25.5007,0.8928
2,24,1.39535,1.06805,0.03339,0.0205,24.9396,0.8849
2,25,1.38236,1.09095,0.03797,0.0216,23.9922,0.8828
2,26,1.35812,0.99924,0.02600,0.0145,25.9093,0.9037
2,27,1.28300,1.07821,0.02953,0.0176,25.0010,0.8851
2,28,1.35376,1.04680,0.02987,0.0186,26.2173,0.8962
2,29,1.33826,1.17512,0.03324,0.0232,25.2075,0.8961
2,30,1.35373,1.18686,0.04314,0.0313,23.0688,0.8817
2,31,1.39619,1.17977,0.04567,0.0288,22.6571,0.8636
2,32,1.35278,1.09276,0.03363,0.0219,24.1708,0.8951
2,33,1.33512,1.02838,0.03016,0.0189,26.3521,0.9050
2,34,1.23431,1.16632,0.02654,0.0156,27.6674,0.8940
2,35,1.32472,1.29395,0.05036,0.0343,21.6641,0.8631
2,36,1.26457,1.28644,0.04771,0.0385,24.0667,0.8673
2,37,1.33300,1.16552,0.02868,0.0175,26.1750,0.8931
2,38,1.29413,1.27197,0.03460,0.0218,25.6025,0.8811
2,39,1.20100,1.26780,0.03649,0.0203,24.0565,0.8775
2,40,1.23086,1.07932,0.02926,0.0143,26.8868,0.8916
2,41,1.30282,1.08487,0.03172,0.0149,26.3618,0.8979
2,42,1.37192,1.08516,0.03278,0.0227,25.4269,0.8968
2,43,1.22481,1.35772,0.03281,0.0219,24.3591,0.8825
2,44,1.33263,1.07566,0.02648,0.0140,26.8268,0.8929
2,45,1.30040,1.13763,0.03076,0.0180,24.3526,0.8833
2,46,1.32071,1.00848,0.02850,0.0167,26.5836,0.9011
2,47,1.26542,1.36744,0.03214,0.0197,24.8555,0.8803
2,48,1.28358,1.22120,0.03160,0.0166,25.3469,0.8796
2,49,1.34608,1.21017,0.04831,0.0249,23.0274,0.8607
2,50,1.33641,1.04983,0.02759,0.0149,27.4454,0.8982
2,51,1.29066,1.23220,0.02392,0.0111,26.8234,0.8870
2,52,1.19427,1.21410,0.02848,0.0194,26.5900,0.9022
2,53,1.30289,1.22520,0.04512,0.0300,23.1890,0.8676
2,54,1.27224,1.20594,0.03780,0.0234,24.7946,0.8734
2,55,1.29536,1.20421,0.04045,0.0270,23.8482,0.8717
2,56,1.30316,1.13195,0.02993,0.0170,26.7637,0.8926
2,57,1.26690,1.11398,0.02688,0.0167,27.3172,0.9029
2,58,1.20447,1.16488,0.03006,0.0177,25.8698,0.8875
2,59,1.32981,1.13514,0.03540,0.0218,24.3764,0.8770
2,60,1.28111,1.36769,0.03117,0.0164,24.7309,0.8718
2,61,1.24059,1.23553,0.03269,0.0173,24.8347,0.8730
2,62,1.19774,1.09492,0.02938,0.0165,25.7038,0.8875
2,63,1.38610,1.01901,0.03521,0.0214,24.6707,0.8738
2,64,1.31142,1.23519,0.03085,0.0161,25.6767,0.8928
2,65,1.37434,1.15834,0.03872,0.0206,24.2304,0.8899
2,66,1.37205,1.11944,0.03043,0.0161,25.1406,0.8941
2,67,1.28382,1.18126,0.03483,0.0213,25.1371,0.8817
2,68,1.27169,1.17385,0.02681,0.0137,26.7509,0.9003
2,69,1.26291,1.10567,0.03273,0.0179,24.8954,0.8937
2,70,1.33093,1.06634,0.03753,0.0246,24.5238,0.8798
2,71,1.27499,1.07351,0.02618,0.0148,25.7395,0.9004
2,72,1.16695,1.46495,0.03191,0.0193,25.0759,0.8803
2,73,1.31347,1.22726,0.02772,0.0152,26.0116,0.8906
2,74,1.27619,0.96381,0.03018,0.0177,25.4576,0.8980
2,75,1.25352,1.15291,0.03014,0.0159,26.4974,0.8850
2,76,1.22081,1.39073,0.04247,0.0219,23.9544,0.8700
2,77,1.32587,1.10460,0.03318,0.0211,24.7013,0.8836
2,78,1.23633,1.37939,0.03292,0.0199,25.4441,0.8881
2,79,1.36856,1.20399,0.03732,0.0258,23.6820,0.8804
2,80,1.36837,1.07580,0.03792,0.0255,24.2927,0.8891
2,81,1.37134,0.97751,0.02972,0.0180,25.7055,0.8949
2,82,1.35787,1.06018,0.03509,0.0240,24.7018,0.8892
2,83,1.33969,1.02200,0.02624,0.0149,26.3146,0.9002
2,84,1.28562,1.03454,0.02686,0.0146,25.9184,0.9036
