Epoch,Batch,MSE,PSNR,SSIM
11,23,0.0449,13.4661,0.8724
11,24,0.0634,12.7165,0.7821
11,25,0.0582,12.9007,0.7908
12,1,0.0543,13.1319,0.8871
12,2,0.0697,12.0147,0.7400
12,3,0.0540,13.1373,0.8654
12,4,0.0665,12.2705,0.7539
12,5,0.0645,12.0813,0.7096
12,6,0.0616,11.9212,0.8237
12,7,0.0577,12.4901,0.7662
12,8,0.0539,12.9886,nan
12,9,0.0729,11.7214,0.7584
12,10,0.0445,13.7683,nan
12,11,0.0572,12.6203,nan
12,12,0.0527,13.3594,0.8742
12,13,0.0611,12.4892,0.7436
12,14,0.0579,12.5695,0.8038
12,15,0.0631,12.5734,0.7539
12,16,0.0480,13.2301,0.7593
12,17,0.0638,12.1870,0.8744
12,18,0.0556,12.4103,0.7639
12,19,0.0500,12.8821,0.8290
12,20,0.0524,12.6995,0.8809
12,21,0.0521,13.1451,0.7550
12,22,0.0546,12.8423,0.8275
12,23,0.0513,13.2421,0.8267
12,24,0.0459,13.5842,0.7954
12,25,0.0513,13.0974,0.8362
13,1,0.0568,13.3252,0.7307
13,2,0.0675,12.4250,0.7503
13,3,0.0495,13.2297,0.7952
13,4,0.0523,12.8854,0.8119
13,5,0.0693,12.1179,0.6731
13,6,0.0443,13.5184,0.7886
13,7,0.0508,13.3222,0.8015
13,8,0.0448,13.5441,0.8015
13,9,0.0527,12.7723,nan
13,10,0.0477,13.3390,0.7415
13,11,0.0553,13.0099,0.8512
13,12,0.0440,13.4940,0.8562
13,13,0.0505,13.2334,0.7655
13,14,0.0578,12.6205,0.7497
13,15,0.0415,13.8782,0.8920
13,16,0.0444,13.4525,0.8527
13,17,0.0420,13.7382,0.8840
13,18,0.0415,14.2492,0.8561
13,19,0.0380,14.2751,0.8268
13,20,0.0654,12.2963,0.7713
13,21,0.0490,13.5778,0.9091
13,22,0.0505,13.2925,0.7744
13,23,0.0541,13.6137,0.8487
13,24,0.0493,13.4393,0.7665
13,25,0.0497,13.4495,0.8061
14,1,0.0656,12.2833,0.8362
14,2,0.0490,13.2814,0.8370
14,3,0.0629,12.2409,0.7046
14,4,0.0491,13.3153,0.8582
14,5,0.0495,13.1436,0.9509
14,6,0.0446,13.2780,0.8520
14,7,0.0391,14.1000,0.8755
14,8,0.0627,12.2890,0.7873
14,9,0.0416,14.5536,0.8865
14,10,0.0703,12.0473,0.8016
14,11,0.0755,11.5413,0.7679
14,12,0.0498,13.1280,0.8795
14,13,0.0493,13.6704,0.8708
14,14,0.0544,13.0203,0.7732
14,15,0.0636,12.1606,0.7146
14,16,0.0533,12.7644,0.7681
14,17,0.0587,12.2400,0.6979
14,18,0.0505,12.9405,0.8933
14,19,0.0610,12.0830,0.7832
14,20,0.0561,12.7801,0.7840
14,21,0.0628,12.9836,0.7710
14,22,0.0523,13.4010,0.8237
14,23,0.0575,13.2588,0.8396
14,24,0.0767,11.9914,0.7287
14,25,0.0620,12.4790,0.8305
15,1,0.0587,12.9995,0.8177
15,2,0.0534,13.0258,0.7009
15,3,0.0430,13.6463,0.9207
15,4,0.0327,14.8806,0.8762
15,5,0.0548,12.6159,nan
15,6,0.0530,13.0263,0.7625
15,7,0.0468,13.3301,0.8565
15,8,0.0536,13.2227,0.7810
15,9,0.0532,13.0647,0.8414
15,10,0.0546,13.0462,0.7902
15,11,0.0496,13.0549,0.8279
15,12,0.0464,13.3312,0.7623
15,13,0.0478,13.4084,0.8832
15,14,0.0522,12.9736,0.8731
15,15,0.0564,12.7829,0.7413
15,16,0.0501,13.1442,0.8455
15,17,0.0483,13.4728,0.8056
15,18,0.0542,13.2299,0.8500
15,19,0.0521,13.2745,0.7838
15,20,0.0512,13.2118,0.8513
