Folder,Image,MSE,PSNR,SSIM
32,32_010,0.0003,40.7508,0.9844
32,32_020,0.0045,29.3559,0.9776
32,32_030,0.0070,27.4714,0.9650
32,32_040,0.0004,40.1746,0.9820
32,32_050,0.0036,30.3855,0.9715
32,32_060,0.0070,27.4462,0.9603
32,32_070,0.0001,48.5775,0.9949
32,32_080,0.0001,46.8005,0.9935
32,32_090,0.0004,39.4769,0.9894
32,32_100,0.0001,47.3525,0.9941
33,33_010,0.0007,37.7816,0.9820
33,33_020,0.0200,22.8818,0.9039
33,33_030,0.0016,33.9186,0.9757
33,33_040,0.0012,35.1446,0.9744
33,33_050,0.0001,47.4097,0.9930
33,33_060,0.0048,29.1045,0.9632
33,33_070,0.0002,42.9137,0.9866
33,33_080,0.0001,45.1731,0.9888
33,33_090,0.0004,39.6026,0.9836
33,33_100,0.0017,33.5189,0.9683
34,34_010,0.0000,49.9649,0.9948
34,34_020,0.0001,47.1854,0.9930
34,34_030,0.0053,28.6935,0.9664
34,34_040,0.0003,41.5060,0.9853
34,34_050,0.0053,28.6787,0.9631
34,34_060,0.0086,26.5517,0.9433
34,34_070,0.0094,26.1687,0.9317
34,34_080,0.0022,32.5701,0.9683
34,34_090,0.0151,24.1222,0.9137
34,34_100,0.0006,38.0136,0.9668
