Folder,Image,MSE,PSNR,SSIM
16,16_030,0.0011,35.2918,0.9829
16,16_040,0.0002,42.1699,0.9897
16,16_050,0.0010,36.0877,0.9849
16,16_060,0.0006,38.0201,0.9886
16,16_070,0.0003,41.3801,0.9900
16,16_080,0.0010,36.0430,0.9875
16,16_090,0.0014,34.2755,0.9701
16,16_100,0.0004,39.5033,0.9863
17,17_010,0.0047,29.2271,0.9706
17,17_020,0.0001,46.0303,0.9921
17,17_030,0.0002,42.6595,0.9862
17,17_040,0.0041,29.7862,0.9600
17,17_050,0.0002,42.2223,0.9857
17,17_060,0.0029,31.2851,0.9667
17,17_070,0.0002,43.8802,0.9875
17,17_080,0.0013,34.7813,0.9768
17,17_090,0.0002,42.3056,0.9887
17,17_100,0.0001,46.1012,0.9901
18,18_010,0.0033,30.7025,0.9630
18,18_020,0.0107,25.6354,0.9529
18,18_030,0.0010,35.7991,0.9794
18,18_040,0.0080,26.9030,0.9532
18,18_050,0.0002,42.4026,0.9864
18,18_060,0.0073,27.3397,0.9283
18,18_070,0.0009,36.2918,0.9754
18,18_080,0.0101,25.9111,0.9416
18,18_090,0.0034,30.5762,0.9540
18,18_100,0.0011,35.6957,0.9703
20,20_010,0.0115,25.3537,0.9381
20,20_020,0.0005,38.6766,0.9859
20,20_030,0.0108,25.5979,0.9064
20,20_040,0.0290,21.3238,0.8997
20,20_050,0.0064,27.8625,0.9398
20,20_060,0.0022,32.5511,0.9595
20,20_070,0.0036,30.3648,0.9505
20,20_080,0.0004,40.1521,0.9807
20,20_090,0.0005,38.7202,0.9629
20,20_100,0.0005,38.6151,0.9693
21,21_010,0.0188,23.2118,0.9118
21,21_020,0.0120,25.1750,0.9120
21,21_030,0.0153,24.1081,0.8954
21,21_040,0.0020,32.9953,0.9450
21,21_050,0.0020,33.0146,0.9419
21,21_060,0.0042,29.7513,0.9246
21,21_070,0.0025,31.9713,0.9225
21,21_080,0.0015,34.1117,0.9550
21,21_090,0.0030,31.2193,0.9242
21,21_100,0.0032,30.9232,0.9416
22,22_010,0.0001,48.1514,0.9942
22,22_020,0.0001,47.0550,0.9940
22,22_030,0.0325,20.8278,0.8760
22,22_040,0.0030,31.1413,0.9549
22,22_050,0.0055,28.5492,0.9365
22,22_060,0.0122,25.0812,0.9198
22,22_070,0.0144,24.3380,0.8854
22,22_080,0.0076,27.1380,0.9235
22,22_090,0.0082,26.7917,0.9066
22,22_100,0.0043,29.6257,0.9463
23,23_010,0.0030,31.1273,0.9693
23,23_020,0.0043,29.6063,0.9693
23,23_030,0.0020,32.8907,0.9597
23,23_040,0.0074,27.2060,0.9575
23,23_050,0.0010,35.8133,0.9739
23,23_060,0.0003,41.0182,0.9889
23,23_070,0.0010,35.7169,0.9735
23,23_080,0.0014,34.5170,0.9792
23,23_090,0.0074,27.2033,0.9577
23,23_100,0.0022,32.4672,0.9501
24,24_010,0.0036,30.3949,0.9562
24,24_020,0.0003,40.6047,0.9838
24,24_030,0.0007,37.5829,0.9778
24,24_040,0.0008,36.8177,0.9740
24,24_050,0.0132,24.7050,0.8991
24,24_060,0.0044,29.4882,0.9293
24,24_070,0.0078,26.9945,0.9119
24,24_080,0.0134,24.6493,0.8872
24,24_090,0.0035,30.4298,0.9379
24,24_100,0.0019,33.2099,0.9454
25,25_010,0.0001,46.3349,0.9947
25,25_020,0.0056,28.4144,0.9248
25,25_030,0.0049,29.0508,0.9398
25,25_040,0.0021,32.7233,0.9431
25,25_050,0.0030,31.1246,0.9373
25,25_060,0.0037,30.2372,0.9366
25,25_070,0.0122,25.0716,0.9114
25,25_080,0.0033,30.7487,0.9312
25,25_090,0.0044,29.4566,0.9360
25,25_100,0.0012,35.1511,0.9654
26,26_010,0.0245,22.0277,0.8933
26,26_020,0.0141,24.4294,0.9093
26,26_030,0.0179,23.3811,0.8864
26,26_040,0.0034,30.5440,0.9257
26,26_050,0.0016,33.7773,0.9576
26,26_060,0.0013,34.6621,0.9587
26,26_070,0.0021,32.6309,0.9527
26,26_080,0.0074,27.2391,0.9260
26,26_090,0.0017,33.6574,0.9557
26,26_099,0.0028,31.4149,0.9540
27,27_010,0.0137,24.5480,0.9180
27,27_020,0.0105,25.7214,0.9383
27,27_030,0.0079,26.9152,0.9440
27,27_040,0.0223,22.4424,0.9156
27,27_050,0.0138,24.5082,0.9183
27,27_060,0.0093,26.2357,0.9075
27,27_070,0.0025,31.8602,0.9236
27,27_080,0.0010,35.9460,0.9568
27,27_090,0.0012,35.0658,0.9571
27,27_100,0.0052,28.7584,0.9501
28,28_010,0.0005,39.1259,0.9856
28,28_020,0.0190,23.1290,0.9226
28,28_030,0.0066,27.7028,0.9532
28,28_040,0.0088,26.4606,0.9515
28,28_050,0.0031,30.9594,0.9731
28,28_060,0.0002,42.4740,0.9810
28,28_070,0.0073,27.2561,0.9541
28,28_080,0.0001,45.4586,0.9866
28,28_090,0.0004,40.3467,0.9727
28,28_100,0.0002,43.0823,0.9870
29,29_010,0.0191,23.1083,0.9073
29,29_020,0.0021,32.6963,0.9643
29,29_030,0.0036,30.4075,0.9484
29,29_040,0.0155,24.0208,0.9188
29,29_050,0.0018,33.3297,0.9569
29,29_060,0.0077,27.0468,0.9186
29,29_070,0.0008,36.9053,0.9649
29,29_080,0.0023,32.3834,0.9509
29,29_090,0.0019,33.2162,0.9376
29,29_098,0.0078,26.9813,0.9270
30,30_010,0.0058,28.2503,0.9709
30,30_020,0.0171,23.5935,0.9460
30,30_030,0.0004,40.0423,0.9739
30,30_040,0.0055,28.4515,0.9582
30,30_050,0.0020,32.7863,0.9756
30,30_060,0.0130,24.7555,0.9450
30,30_070,0.0137,24.5385,0.9223
30,30_080,0.0001,44.8087,0.9857
30,30_090,0.0011,35.4118,0.9801
30,30_100,0.0001,45.7375,0.9872
32,32_010,0.0001,48.2734,0.9961
32,32_020,0.0029,31.3658,0.9819
32,32_030,0.0000,49.7704,0.9967
32,32_040,0.0108,25.5779,0.9594
32,32_050,0.0004,40.2750,0.9889
32,32_060,0.0020,32.8592,0.9680
32,32_070,0.0092,26.2776,0.9589
32,32_080,0.0035,30.4663,0.9750
32,32_090,0.0040,29.8580,0.9730
32,32_100,0.0001,45.2239,0.9946
33,33_010,0.0070,27.4564,0.9484
33,33_020,0.0114,25.3085,0.9385
33,33_030,0.0040,29.8724,0.9648
33,33_040,0.0071,27.4334,0.9500
33,33_050,0.0083,26.7513,0.9529
33,33_060,0.0001,45.7585,0.9892
33,33_070,0.0002,42.8504,0.9887
33,33_080,0.0001,44.3792,0.9906
33,33_090,0.0002,43.8202,0.9932
33,33_100,0.0008,36.7044,0.9793
34,34_010,0.0042,29.6531,0.9741
34,34_020,0.0001,45.2728,0.9904
34,34_030,0.0011,35.3739,0.9823
34,34_040,0.0013,34.8967,0.9810
34,34_050,0.0174,23.5023,0.9209
34,34_060,0.0114,25.3472,0.9376
34,34_070,0.0009,36.2170,0.9781
34,34_080,0.0191,23.1183,0.9122
34,34_090,0.0011,35.6422,0.9715
34,34_100,0.0011,35.4913,0.9636
