Epoch,Batch,MSE,PSNR,SSIM
14,8,0.0551,23.0031,0.8340
14,9,0.0595,20.9927,0.8458
14,10,0.0354,23.3216,0.8808
14,11,0.0379,24.5305,0.9063
14,12,0.1100,21.5257,0.8894
14,13,0.0499,22.4999,0.8829
14,14,0.0502,24.7112,0.9367
14,15,0.0363,24.5486,0.9518
14,16,0.0444,27.1215,0.9646
14,17,0.0722,24.1084,0.9144
14,18,0.0494,23.5382,0.8794
14,19,0.0911,23.3531,0.9017
14,20,0.0497,22.9909,0.8978
14,21,0.0725,22.9234,0.9284
14,22,0.0232,25.6407,0.9185
14,23,0.0924,22.9113,0.9225
14,24,0.0892,21.9526,0.8840
14,25,0.0883,22.9937,0.8573
15,1,0.0522,26.1058,0.9156
15,2,0.0517,24.6295,nan
15,3,0.1576,20.1127,0.8514
15,4,0.0735,22.3669,0.9227
15,5,0.0488,21.2923,0.9100
15,6,0.0553,22.9567,0.9346
15,7,0.0194,26.6496,0.9174
15,8,0.0428,22.7816,0.8887
15,9,0.0744,21.1851,0.8032
15,10,0.0977,22.0079,0.9024
15,11,0.0541,23.5164,0.9093
15,12,0.0849,22.7110,0.8962
15,13,0.0231,25.3848,0.9099
15,14,0.0807,25.9999,0.9056
15,15,0.0488,25.8662,0.9100
15,16,0.0754,22.2828,0.9056
15,17,0.0665,21.9745,0.8698
15,18,0.0348,24.3091,0.8760
15,19,0.0802,25.9866,0.9209
15,20,0.0241,24.9353,0.9474
15,21,0.0503,21.7226,0.8783
15,22,0.0754,24.2334,0.8693
15,23,0.0183,26.8566,0.9704
15,24,0.0546,23.0914,0.8350
15,25,0.0894,22.2807,0.9265
16,1,0.0456,22.6903,0.8843
16,2,0.0582,22.8202,0.9143
16,3,0.0299,25.8357,0.9173
16,4,0.0477,24.8096,0.8990
16,5,0.0419,24.8943,0.9137
16,6,0.0564,23.0318,0.9180
16,7,0.0948,18.9715,0.7820
16,8,0.0218,25.8120,0.9638
16,9,0.0935,22.0018,0.9157
16,10,0.0342,23.7787,0.8950
16,11,0.0849,20.2763,0.7872
16,12,0.0383,23.8601,0.9170
16,13,0.0380,27.6852,0.9223
16,14,0.0451,25.2669,0.8770
16,15,0.0415,25.3138,0.9416
16,16,0.0566,23.4662,0.8823
16,17,0.1322,20.6848,0.9114
16,18,0.0708,20.8542,0.8235
16,19,0.0429,24.1901,0.9620
16,20,0.0446,23.9920,0.9052
16,21,0.0726,21.3657,0.8406
16,22,0.0406,25.9150,0.9346
16,23,0.0808,24.1057,0.9324
16,24,0.0786,23.2205,0.9438
16,25,0.0445,26.0330,0.9605
17,1,0.0436,24.7358,0.9120
17,2,0.0690,22.8154,0.8614
17,3,0.0530,23.5539,0.8590
17,4,0.0742,25.6289,0.9139
17,5,0.0836,23.0828,0.8818
17,6,0.0753,21.1207,0.8740
17,7,0.0384,23.4914,0.9189
17,8,0.0274,25.7352,0.9039
17,9,0.0138,27.6609,0.9529
17,10,0.1039,21.1186,0.8663
17,11,0.0437,23.7269,0.9162
17,12,0.0373,25.2276,0.8864
17,13,0.0315,24.0081,0.8698
17,14,0.1304,22.0683,0.8595
17,15,0.0385,25.8559,0.9113
17,16,0.0398,25.7707,0.9528
17,17,0.0395,24.9523,0.8804
17,18,0.0879,20.5071,0.8535
17,19,0.0594,24.4791,0.9103
17,20,0.0429,24.4084,0.9411
17,21,0.0389,23.9228,0.9136
17,22,0.0788,22.8596,0.9130
17,23,0.0879,24.4934,0.8714
17,24,0.1476,21.9383,0.8952
17,25,0.0388,22.8837,0.9228
18,1,0.0593,23.4997,0.8834
18,2,0.0189,26.6808,0.9506
18,3,0.0194,26.0991,0.9257
18,4,0.0249,27.1803,0.9312
18,5,0.0720,22.6066,0.9153
18,6,0.0860,23.8286,0.8184
18,7,0.0174,30.2078,0.9815
18,8,0.0625,23.5964,0.9490
18,9,0.0506,25.3724,0.9198
18,10,0.0320,27.8482,0.9629
18,11,0.0627,23.2173,0.8981
18,12,0.0519,26.9498,0.8951
18,13,0.1192,24.8197,0.8898
18,14,0.0804,23.7597,0.9038
18,15,0.0338,24.4373,0.9210
18,16,0.0205,27.9470,0.9606
18,17,0.0612,23.7306,0.9421
18,18,0.0521,21.6735,0.8957
18,19,0.1220,20.0991,0.8420
18,20,0.0603,24.1499,0.9425
18,21,0.0652,21.8156,0.9051
18,22,0.0307,27.1500,0.9731
18,23,0.0213,25.6156,0.9157
18,24,0.0607,22.5276,0.8973
18,25,0.0882,22.1594,0.9045
19,1,0.0410,24.0397,0.9457
19,2,0.0521,22.2445,0.8760
19,3,0.0350,24.6011,0.9162
19,4,0.0237,26.1645,0.9320
19,5,0.0228,25.3809,0.9516
19,6,0.0364,24.2492,0.8958
19,7,0.0362,23.7068,0.9331
19,8,0.0372,23.9541,0.9520
19,9,0.0523,22.3609,0.9338
19,10,0.0257,25.1325,0.9358
19,11,0.0584,24.3849,0.8713
19,12,0.0678,23.0575,0.9397
19,13,0.0968,20.8747,0.8997
19,14,0.0981,21.6699,0.8655
19,15,0.1648,19.3625,0.7947
19,16,0.1245,18.5584,0.8722
19,17,0.0737,20.9152,0.9185
19,18,0.0246,23.3674,0.9454
19,19,0.0293,25.3935,0.9322
19,20,0.0156,28.9647,nan
19,21,0.0978,20.7771,0.8524
19,22,0.1194,19.1196,0.8364
19,23,0.0488,23.8616,0.9133
19,24,0.0585,22.9838,nan
19,25,0.0654,22.2612,0.9102
20,1,0.0207,26.8168,0.9406
20,2,0.0867,22.0828,0.8695
20,3,0.1293,19.1851,0.8562
20,4,0.0417,25.1580,0.8968
20,5,0.0350,25.4794,0.9058
20,6,0.0239,26.9270,0.9437
20,7,0.0981,21.4646,0.8697
20,8,0.0573,24.6023,nan
20,9,0.0587,20.3559,0.8962
20,10,0.0318,24.0323,0.8924
20,11,0.0850,24.8417,0.8713
20,12,0.0320,26.4686,0.9228
20,13,0.0723,21.9653,0.8743
20,14,0.0549,24.2747,0.9322
20,15,0.0923,19.6308,0.8694
20,16,0.0686,24.4705,0.9427
20,17,0.0408,24.9786,0.8494
20,18,0.1185,21.7225,0.8770
20,19,0.0758,24.7989,0.8864
20,20,0.1228,23.2866,0.9587
20,21,0.0982,24.4216,0.8939
20,22,0.1310,20.4273,0.8474
20,23,0.0822,23.4693,0.9727
20,24,0.0766,22.0955,0.8587
20,25,0.0889,20.7379,0.8671
21,1,0.1052,20.2826,0.8563
21,2,0.0742,21.5865,0.9066
21,3,0.0897,19.1785,0.8313
21,4,0.1145,20.5076,0.8821
21,5,0.0686,24.5225,0.8906
21,6,0.0943,23.4240,0.8692
21,7,0.1063,18.7716,0.8458
21,8,0.0445,22.4301,0.9068
21,9,0.0784,21.2351,0.8001
21,10,0.0962,20.8245,0.7741
21,11,0.0350,24.1406,0.8685
21,12,0.0972,21.8180,0.8614
21,13,0.0966,22.8689,0.8565
21,14,0.0502,28.4703,0.8781
21,15,0.0735,24.9002,0.9247
21,16,0.1029,23.4911,0.8977
21,17,0.0648,25.6602,0.8981
21,18,0.0570,26.4571,0.9274
21,19,0.0754,20.6834,0.8685
21,20,0.0876,23.4850,0.9234
21,21,0.1184,22.4319,nan
21,22,0.0378,23.3794,0.8563
21,23,0.0801,25.1816,0.9325
21,24,0.0476,25.0433,0.8462
21,25,0.0260,27.5281,0.9379
22,1,0.0631,22.3875,0.9234
22,2,0.0222,27.8538,0.9524
22,3,0.0790,21.7824,0.8824
22,4,0.0954,23.8567,nan
22,5,0.0513,25.7378,0.8974
22,6,0.0412,25.2697,0.9216
22,7,0.0632,27.2241,0.8843
22,8,0.0402,24.8851,0.9116
22,9,0.0515,25.7432,0.9236
22,10,0.0703,24.2265,0.9342
22,11,0.0464,24.9812,0.9498
22,12,0.0325,24.6461,0.9022
22,13,0.0559,27.3419,0.8932
22,14,0.0276,25.7340,0.9391
22,15,0.0847,19.0633,0.8248
22,16,0.0401,23.7133,0.9376
22,17,0.0381,26.5798,0.9145
22,18,0.0332,26.9261,nan
22,19,0.0518,23.8457,0.9129
22,20,0.0377,24.6258,0.9081
22,21,0.0338,25.2788,0.9086
22,22,0.0701,24.6885,0.9823
22,23,0.0444,25.8539,0.8948
22,24,0.0713,22.2612,0.9211
22,25,0.0337,27.2622,0.9507
23,1,0.0161,28.0019,0.9385
23,2,0.0458,25.4615,0.9210
23,3,0.0678,23.4842,0.9082
23,4,0.0724,21.7074,0.9020
23,5,0.0764,26.1257,nan
23,6,0.1081,18.9270,0.9039
23,7,0.0275,26.8063,nan
23,8,0.0619,22.6743,0.8320
23,9,0.1156,23.2994,0.8790
23,10,0.0411,24.3701,0.8667
23,11,0.0593,22.2981,0.8819
23,12,0.0777,25.3101,nan
23,13,0.0346,25.0966,0.9006
23,14,0.0854,23.3662,0.8938
23,15,0.0520,28.6683,0.9626
23,16,0.0594,23.9800,0.9368
23,17,0.0641,23.4766,0.9142
23,18,0.0729,24.4888,0.9251
23,19,0.0514,25.3307,0.8968
23,20,0.0481,27.3867,0.9692
23,21,0.1373,22.4616,0.9144
