Folder,Image,MSE,PSNR,SSIM
7,7_070,0.0122,25.0815,0.9200
7,7_080,0.0126,24.9467,0.8856
7,7_090,0.0148,24.2293,0.8800
7,7_100,0.0037,30.1901,0.9378
8,8_010,0.0122,25.0915,0.9208
8,8_020,0.0211,22.7162,0.8881
8,8_030,0.0064,27.8629,0.8981
8,8_040,0.0085,26.6791,0.9182
8,8_050,0.0134,24.6812,0.9167
8,8_060,0.0087,26.5345,0.8930
8,8_070,0.0126,24.9564,0.9013
8,8_080,0.0129,24.8499,0.9086
8,8_090,0.0056,28.4391,0.9450
8,8_100,0.0125,24.9902,0.9084
11,11_010,0.0047,29.1575,0.9607
11,11_020,0.0075,27.1786,0.9238
11,11_030,0.0082,26.8035,0.9101
11,11_040,0.0077,27.0584,0.9219
11,11_050,0.0030,31.1534,0.9548
11,11_060,0.0090,26.4007,0.8986
11,11_070,0.0050,28.9807,0.9316
11,11_080,0.0072,27.3842,0.9448
11,11_090,0.0067,27.6393,0.9366
11,11_100,0.0045,29.4045,0.9361
13,13_010,0.0186,23.2611,0.9189
13,13_020,0.0317,20.9367,0.8746
13,13_030,0.0083,26.7745,0.9292
13,13_040,0.0216,22.6049,0.9071
13,13_050,0.0296,21.2393,0.9016
13,13_060,0.0171,23.6299,0.8917
13,13_070,0.0276,21.5383,0.8921
13,13_080,0.0171,23.6111,0.8946
13,13_090,0.0097,26.0647,0.9074
13,13_100,0.0130,24.8187,0.9140
16,16_010,0.0001,48.5511,0.9944
16,16_020,0.0000,51.3675,0.9970
16,16_030,0.0001,48.2040,0.9942
16,16_040,0.0031,30.9803,0.9713
16,16_050,0.0021,32.7130,0.9813
16,16_060,0.0053,28.6020,0.9533
16,16_070,0.0024,32.0033,0.9822
16,16_080,0.0031,31.0154,0.9700
16,16_090,0.0017,33.4751,0.9806
16,16_100,0.0011,35.3694,0.9846
17,17_010,0.0045,29.3793,0.9695
17,17_020,0.0004,40.3966,0.9864
17,17_030,0.0022,32.5442,0.9709
17,17_040,0.0004,39.3960,0.9786
17,17_050,0.0002,42.1166,0.9862
17,17_060,0.0002,43.2932,0.9884
17,17_070,0.0009,36.5341,0.9728
17,17_080,0.0003,40.9488,0.9809
17,17_090,0.0002,43.2631,0.9857
17,17_100,0.0003,41.3425,0.9818
18,18_010,0.0003,41.3385,0.9833
18,18_020,0.0053,28.7019,0.9616
18,18_030,0.0104,25.7703,0.9439
18,18_040,0.0139,24.5210,0.9384
18,18_050,0.0016,33.8007,0.9547
18,18_060,0.0008,36.6454,0.9721
18,18_070,0.0093,26.2887,0.9347
18,18_080,0.0067,27.6694,0.9530
18,18_090,0.0020,33.0002,0.9618
18,18_100,0.0084,26.7130,0.9251
20,20_010,0.0052,28.8295,0.9559
20,20_020,0.0001,47.3973,0.9930
20,20_030,0.0226,22.3825,0.8965
20,20_040,0.0188,23.1994,0.9142
20,20_050,0.0030,31.1426,0.9394
20,20_060,0.0034,30.5548,0.9398
20,20_070,0.0022,32.5286,0.9593
20,20_080,0.0009,36.1854,0.9643
20,20_090,0.0004,39.4202,0.9737
20,20_100,0.0037,30.1661,0.9532
21,21_010,0.0102,25.8664,0.9318
21,21_020,0.0110,25.5264,0.9235
21,21_030,0.0124,25.0303,0.9379
21,21_040,0.0021,32.7916,0.9426
21,21_050,0.0135,24.6516,0.9273
21,21_060,0.0010,36.0271,0.9643
21,21_070,0.0040,29.9138,0.9355
21,21_080,0.0158,23.9534,0.8897
21,21_090,0.0075,27.1828,0.9158
21,21_100,0.0155,24.0430,0.8896
22,22_010,0.0020,32.9793,0.9820
22,22_020,0.0001,46.2426,0.9908
22,22_030,0.0004,40.3965,0.9906
22,22_040,0.0222,22.4867,0.8905
22,22_050,0.0120,25.1466,0.9146
22,22_060,0.0053,28.7003,0.9401
22,22_070,0.0097,26.0330,0.8960
22,22_080,0.0232,22.2613,0.8765
22,22_090,0.0212,22.6601,0.8926
22,22_100,0.0118,25.2144,0.8877
23,23_010,0.0052,28.7393,0.9670
23,23_020,0.0000,49.1588,0.9944
23,23_030,0.0040,29.8498,0.9631
23,23_040,0.0140,24.4708,0.9404
23,23_050,0.0063,27.9139,0.9419
23,23_060,0.0006,37.8291,0.9801
23,23_070,0.0025,31.9579,0.9762
23,23_080,0.0002,42.7106,0.9818
23,23_090,0.0460,19.3256,0.9033
23,23_100,0.0023,32.2418,0.9423
24,24_010,0.0013,34.8675,0.9849
24,24_020,0.0150,24.1682,0.9471
24,24_030,0.0087,26.5446,0.9167
24,24_040,0.0049,29.0048,0.9630
24,24_050,0.0086,26.5587,0.9311
24,24_060,0.0252,21.9045,0.8713
24,24_070,0.0260,21.7675,0.8720
24,24_080,0.0026,31.7777,0.9448
24,24_090,0.0069,27.5252,0.9218
24,24_100,0.0099,25.9399,0.9068
25,25_010,0.0132,24.7253,0.9235
25,25_020,0.0026,31.7596,0.9448
25,25_030,0.0050,28.9021,0.9073
25,25_040,0.0045,29.4154,0.9197
25,25_050,0.0105,25.7094,0.9289
25,25_060,0.0088,26.4640,0.9099
25,25_070,0.0101,25.8743,0.9075
25,25_080,0.0049,28.9763,0.9260
25,25_090,0.0050,28.9492,0.9264
25,25_100,0.0091,26.3346,0.9114
26,26_010,0.0005,39.0937,0.9775
26,26_020,0.0229,22.3183,0.9073
26,26_030,0.0148,24.2101,0.8844
26,26_040,0.0047,29.1877,0.9241
26,26_050,0.0035,30.5286,0.9527
26,26_060,0.0039,29.9707,0.9609
26,26_070,0.0011,35.3460,0.9557
26,26_080,0.0015,34.1785,0.9585
26,26_090,0.0023,32.3531,0.9418
26,26_099,0.0089,26.4401,0.9322
27,27_010,0.0008,37.1357,0.9666
27,27_020,0.0158,23.9221,0.9247
27,27_030,0.0050,28.9681,0.9500
27,27_040,0.0105,25.7010,0.9371
27,27_050,0.0068,27.6010,0.9257
27,27_060,0.0152,24.0989,0.9138
27,27_070,0.0058,28.2722,0.9040
27,27_080,0.0089,26.4082,0.9157
27,27_090,0.0052,28.7356,0.9189
27,27_100,0.0057,28.3599,0.9238
28,28_010,0.0003,41.8139,0.9807
28,28_020,0.0140,24.4703,0.9359
28,28_030,0.0057,28.3638,0.9679
28,28_040,0.0026,31.7704,0.9633
28,28_050,0.0063,27.9091,0.9482
28,28_060,0.0029,31.3080,0.9533
28,28_070,0.0044,29.5066,0.9548
28,28_080,0.0023,32.3697,0.9491
28,28_090,0.0003,40.7643,0.9745
28,28_100,0.0009,36.2583,0.9655
29,29_010,0.0002,43.7770,0.9883
29,29_020,0.0097,26.0615,0.9218
29,29_030,0.0085,26.6282,0.9360
29,29_040,0.0023,32.3294,0.9346
29,29_050,0.0007,37.3569,0.9547
29,29_060,0.0060,28.1677,0.9205
29,29_070,0.0010,35.8580,0.9665
29,29_080,0.0023,32.3667,0.9386
29,29_090,0.0025,31.9710,0.9314
29,29_098,0.0129,24.7956,0.9083
30,30_010,0.0002,43.3838,0.9873
30,30_020,0.0165,23.7445,0.9133
30,30_030,0.0064,27.8364,0.9510
30,30_040,0.0058,28.2615,0.9509
30,30_050,0.0001,46.7554,0.9911
30,30_060,0.0014,34.5071,0.9797
30,30_070,0.0069,27.5448,0.9203
30,30_080,0.0012,35.0646,0.9729
30,30_090,0.0009,36.2047,0.9746
30,30_100,0.0006,38.0469,0.9771
32,32_010,0.0001,48.4865,0.9941
32,32_020,0.0024,32.1268,0.9864
32,32_030,0.0001,46.2823,0.9932
32,32_040,0.0001,47.9784,0.9959
32,32_050,0.0093,26.2412,0.9474
32,32_060,0.0001,46.5349,0.9920
32,32_070,0.0002,43.2444,0.9884
32,32_080,0.0056,28.4446,0.9755
32,32_090,0.0037,30.2736,0.9764
32,32_100,0.0006,38.3694,0.9867
33,33_010,0.0012,35.0651,0.9822
33,33_020,0.0083,26.6711,0.9311
33,33_030,0.0004,40.2029,0.9861
33,33_040,0.0011,35.3325,0.9715
33,33_050,0.0022,32.5150,0.9664
33,33_060,0.0003,40.8978,0.9834
33,33_070,0.0001,44.9247,0.9900
33,33_080,0.0004,39.9611,0.9884
33,33_090,0.0002,43.5296,0.9901
33,33_100,0.0001,46.0568,0.9908
34,34_010,0.0130,24.7800,0.9444
34,34_020,0.0002,43.6609,0.9874
34,34_030,0.0058,28.2925,0.9623
34,34_040,0.0021,32.6074,0.9781
34,34_050,0.0000,49.7199,0.9956
34,34_060,0.0001,44.4217,0.9903
34,34_070,0.0006,38.2504,0.9753
34,34_080,0.0137,24.5021,0.9278
34,34_090,0.0168,23.6532,0.9262
34,34_100,0.0015,34.2436,0.9519
