Epoch,Batch,MSE,PSNR,SSIM
22,23,0.0489,13.9530,0.7600
22,24,0.0699,12.7723,0.7574
22,25,0.0587,13.1601,0.7766
23,1,0.0519,13.9809,0.9007
23,2,0.0406,13.9225,0.8837
23,3,0.0625,12.4920,0.7901
23,4,0.0587,12.7515,0.6986
23,5,0.0661,12.2729,0.7769
23,6,0.0573,12.8320,0.8198
23,7,0.0465,13.4025,0.8160
23,8,0.0747,11.9587,0.7429
23,9,0.0419,13.8178,0.8451
23,10,0.0625,12.3892,0.7780
23,11,0.0466,13.5737,0.8307
23,12,0.0483,13.5800,0.8047
23,13,0.0570,13.1938,0.7823
23,14,0.0627,12.9809,0.7768
23,15,0.0534,13.5681,0.7892
23,16,0.0461,13.6999,0.8068
23,17,0.0308,15.1040,0.9244
23,18,0.0616,13.3073,0.7495
23,19,0.0507,14.2354,0.8463
23,20,0.0772,12.4890,0.7160
23,21,0.0552,13.3857,0.7760
23,22,0.0746,12.3175,0.7247
23,23,0.0725,11.8475,0.6827
23,24,0.0553,12.9662,0.7443
23,25,0.0573,13.0898,0.7972
24,1,0.0716,12.1912,0.7849
24,2,0.0541,14.2542,0.8419
24,3,0.0549,12.9499,0.7277
24,4,0.0701,12.2249,0.7175
24,5,0.0492,13.1626,nan
24,6,0.0487,13.2404,0.8151
24,7,0.0601,13.2609,0.8409
24,8,0.0469,13.6846,0.8400
24,9,0.0602,13.1743,0.8083
24,10,0.0726,12.6162,0.7424
24,11,0.0359,14.7863,0.8980
24,12,0.0565,13.2635,0.8286
24,13,0.0566,13.3205,0.8078
24,14,0.0441,14.5240,0.8610
24,15,0.0547,13.2036,0.8476
24,16,0.0598,13.3089,0.8411
24,17,0.0770,11.9786,0.6549
24,18,0.0459,13.7287,0.8580
24,19,0.0540,13.4626,0.7722
24,20,0.0475,13.5398,0.7903
24,21,0.0504,13.4800,0.6758
24,22,0.0438,14.2635,nan
24,23,0.0481,13.8429,0.7377
24,24,0.0512,13.0357,0.7610
24,25,0.0683,13.4653,0.7395
25,1,0.0503,13.6527,0.7978
